index, voltage
0,3.878
1,3.961
2,3.878
3,3.958
4,3.964
5,3.963
6,3.827
7,3.808
8,3.826
9,3.973
10,3.973
11,3.974
12,3.942
13,3.937
14,3.937
15,3.972
16,3.972
17,3.976
