index, voltage
0,3.876
1,3.908
2,3.876
3,3.907
4,3.907
5,3.907
6,3.825
7,3.808
8,3.825
9,3.907
10,3.907
11,3.907
12,3.907
13,3.908
14,3.907
15,3.907
16,3.908
17,3.907
